blueprint_name,product_type_id,research_pe_time,research_me_time,copy_time,invention_time,manufacturing_time,max_copy_run,base_waste,blueprint_type_id
Visitant Blueprint,658,240000,240000,240000,2400000,12000,15,10,993
Scorpion Blueprint,640,360000,360000,360000,270000,18000,10,10,994
Megathron Blueprint,641,360000,360000,360000,270000,18000,10,10,995
Apocalypse Blueprint,642,360000,360000,360000,270000,18000,10,10,996
Armageddon Blueprint,643,360000,360000,360000,270000,18000,10,10,997
Typhoon Blueprint,644,360000,360000,360000,270000,18000,10,10,998
Dominix Blueprint,645,360000,360000,360000,270000,18000,10,10,999
Eidolon Blueprint,647,360000,360000,360000,3600000,18000,10,10,1001
Erebus Blueprint,671,30720000,20480000,10240000,7200000,5120000,1,10,1002
Small Shield Extender I Blueprint,377,12000,12000,12000,9000,600,300,10,1010
Shield Recharger I Blueprint,393,12000,12000,12000,9000,600,300,10,1026
Small Shield Booster I Blueprint,399,12000,12000,12000,9000,600,300,10,1032
1MN Microwarpdrive I Blueprint,434,12000,12000,12000,9000,600,300,10,1067
1MN Afterburner I Blueprint,439,12000,12000,12000,9000,600,300,10,1072
Cargo Scanner I Blueprint,442,12000,12000,12000,9000,600,300,10,1074
Ship Scanner I Blueprint,443,12000,12000,12000,9000,600,300,10,1075
Survey Scanner I Blueprint,444,12000,12000,12000,9000,600,300,10,1076
Warp Scrambler I Blueprint,447,12000,12000,12000,9000,600,300,10,1079
Gyrostabilizer I Blueprint,520,12000,12000,12000,9000,600,300,10,1096
Small Armor Repairer I Blueprint,523,12000,12000,12000,9000,600,300,10,1099
Small Hull Repairer I Blueprint,524,12000,12000,12000,9000,600,300,10,1100
Stasis Webifier I Blueprint,526,12000,12000,12000,9000,600,300,10,1102
Small Remote Capacitor Transmitter I Blueprint,529,12000,12000,12000,9000,600,300,10,1105
Small Nosferatu I Blueprint,530,12000,12000,12000,9000,600,300,10,1106
Small Energy Neutralizer I Blueprint,533,12000,12000,12000,9000,600,300,10,1109
75mm Gatling Rail I Blueprint,561,12000,12000,12000,9000,600,300,10,1112
Light Electron Blaster I Blueprint,562,12000,12000,12000,9000,600,300,10,1113
Light Ion Blaster I Blueprint,563,12000,12000,12000,9000,600,300,10,1114
Light Neutron Blaster I Blueprint,564,12000,12000,12000,9000,600,300,10,1115
150mm Railgun I Blueprint,565,12000,12000,12000,9000,600,300,10,1116
Heavy Electron Blaster I Blueprint,566,12000,12000,12000,9000,600,300,10,1117
Dual 150mm Railgun I Blueprint,567,12000,12000,12000,9000,600,300,10,1118
Heavy Neutron Blaster I Blueprint,568,12000,12000,12000,9000,600,300,10,1119
Heavy Ion Blaster I Blueprint,569,12000,12000,12000,9000,600,300,10,1120
250mm Railgun I Blueprint,570,12000,12000,12000,9000,600,300,10,1121
Electron Blaster Cannon I Blueprint,571,12000,12000,12000,9000,600,300,10,1122
Dual 250mm Railgun I Blueprint,572,12000,12000,12000,9000,600,300,10,1123
Neutron Blaster Cannon I Blueprint,573,12000,12000,12000,9000,600,300,10,1124
425mm Railgun I Blueprint,574,12000,12000,12000,9000,600,300,10,1125
Ion Blaster Cannon I Blueprint,575,12000,12000,12000,9000,600,300,10,1126
Medium Capacitor Booster I Blueprint,577,12000,12000,12000,9000,600,300,10,1128
Adaptive Invulnerability Field I Blueprint,578,12000,12000,12000,9000,600,300,10,1129
Iron Charge S Blueprint,215,6000,6000,6000,4500,300,1500,10,1130
Tungsten Charge S Blueprint,216,6000,6000,6000,4500,300,1500,10,1131
Iridium Charge S Blueprint,217,6000,6000,6000,4500,300,1500,10,1132
Lead Charge S Blueprint,218,6000,6000,6000,4500,300,1500,10,1133
Thorium Charge S Blueprint,219,6000,6000,6000,4500,300,1500,10,1134
Uranium Charge S Blueprint,220,6000,6000,6000,4500,300,1500,10,1135
Plutonium Charge S Blueprint,221,6000,6000,6000,4500,300,1500,10,1136
Antimatter Charge S Blueprint,222,6000,6000,6000,4500,300,1500,10,1137
Iron Charge M Blueprint,223,6000,6000,6000,4500,300,1500,10,1138
Tungsten Charge M Blueprint,224,6000,6000,6000,4500,300,1500,10,1139
Iridium Charge M Blueprint,225,6000,6000,6000,4500,300,1500,10,1140
Lead Charge M Blueprint,226,6000,6000,6000,4500,300,1500,10,1141
Thorium Charge M Blueprint,227,6000,6000,6000,4500,300,1500,10,1142
Uranium Charge M Blueprint,228,6000,6000,6000,4500,300,1500,10,1143
Plutonium Charge M Blueprint,229,6000,6000,6000,4500,300,1500,10,1144
Antimatter Charge M Blueprint,230,6000,6000,6000,4500,300,1500,10,1145
Iron Charge L Blueprint,231,6000,6000,6000,4500,300,1500,10,1146
Tungsten Charge L Blueprint,232,6000,6000,6000,4500,300,1500,10,1147
Iridium Charge L Blueprint,233,6000,6000,6000,4500,300,1500,10,1148
Lead Charge L Blueprint,234,6000,6000,6000,4500,300,1500,10,1149
Thorium Charge L Blueprint,235,6000,6000,6000,4500,300,1500,10,1150
Uranium Charge L Blueprint,236,6000,6000,6000,4500,300,1500,10,1151
Plutonium Charge L Blueprint,237,6000,6000,6000,4500,300,1500,10,1152
Antimatter Charge L Blueprint,238,6000,6000,6000,4500,300,1500,10,1153
Radio S Blueprint,239,6000,6000,6000,4500,300,1500,10,1154
Microwave S Blueprint,240,6000,6000,6000,4500,300,1500,10,1155
Infrared S Blueprint,241,6000,6000,6000,4500,300,1500,10,1156
Standard S Blueprint,242,6000,6000,6000,4500,300,1500,10,1157
Ultraviolet S Blueprint,243,6000,6000,6000,4500,300,1500,10,1158
Xray S Blueprint,244,6000,6000,6000,4500,300,1500,10,1159
Gamma S Blueprint,245,6000,6000,6000,4500,300,1500,10,1160
Multifrequency S Blueprint,246,6000,6000,6000,4500,300,1500,10,1161
Radio M Blueprint,247,6000,6000,6000,4500,300,1500,10,1162
Microwave M Blueprint,248,6000,6000,6000,4500,300,1500,10,1163
Infrared M Blueprint,249,6000,6000,6000,4500,300,1500,10,1164
Standard M Blueprint,250,6000,6000,6000,4500,300,1500,10,1165
Ultraviolet M Blueprint,251,6000,6000,6000,4500,300,1500,10,1166
Xray M Blueprint,252,6000,6000,6000,4500,300,1500,10,1167
Gamma M Blueprint,253,6000,6000,6000,4500,300,1500,10,1168
Multifrequency M Blueprint,254,6000,6000,6000,4500,300,1500,10,1169
Radio L Blueprint,255,6000,6000,6000,4500,300,1500,10,1170
Microwave L Blueprint,256,6000,6000,6000,4500,300,1500,10,1171
Infrared L Blueprint,257,6000,6000,6000,4500,300,1500,10,1172
Standard L Blueprint,258,6000,6000,6000,4500,300,1500,10,1173
Ultraviolet L Blueprint,259,6000,6000,6000,4500,300,1500,10,1174
Xray L Blueprint,260,6000,6000,6000,4500,300,1500,10,1175
Gamma L Blueprint,261,6000,6000,6000,4500,300,1500,10,1176
Multifrequency L Blueprint,262,6000,6000,6000,4500,300,1500,10,1177
Cap Booster 25 Blueprint,263,2400,2400,2400,24000,120,1500,10,1178
Cap Booster 50 Blueprint,264,2400,2400,2400,24000,120,1500,10,1179
Small Capacitor Battery I Blueprint,1185,12000,12000,12000,9000,600,300,10,1186
Cap Recharger I Blueprint,1195,12000,12000,12000,9000,600,300,10,1196
EM Plating I Blueprint,1197,12000,12000,12000,9000,600,300,10,1204
Auto Targeting System I Blueprint,1182,12000,12000,12000,9000,600,300,10,1208
ECM Burst I Blueprint,580,12000,12000,12000,9000,600,300,10,1210
Passive Targeter I Blueprint,581,12000,12000,12000,9000,600,300,10,1212
Wasp I Blueprint,1201,9600,9600,9600,7200,480,1500,10,1214
Heavy Defender Missile I Blueprint,265,6000,6000,6000,4500,300,1000,10,1215
Mjolnir Auto-Targeting Light Missile I Blueprint,269,6000,6000,6000,4500,300,1500,10,1216
Python Mine Blueprint,270,2400,2400,2400,24000,120,1500,5,1217
Civilian Mining Drone Blueprint,1202,2400,2400,12000,24000,120,1500,5,1218
Scourge Rocket Blueprint,266,6000,6000,6000,4500,300,1500,10,1220
Scourge Torpedo Blueprint,267,6000,6000,6000,4500,300,1500,10,1221
Overdrive Injector System I Blueprint,1244,12000,12000,12000,9000,600,300,10,1245
Capacitor Flux Coil I Blueprint,1246,12000,12000,12000,9000,600,300,10,1247
Shield Flux Coil I Blueprint,1254,12000,12000,12000,9000,600,300,10,1255
Explosive Plating I Blueprint,1264,12000,12000,12000,9000,600,300,10,1265
Layered Plating I Blueprint,1274,12000,12000,12000,9000,600,300,10,1275
Kinetic Plating I Blueprint,1284,12000,12000,12000,9000,600,300,10,1285
Thermic Plating I Blueprint,1294,12000,12000,12000,9000,600,300,10,1295
Adaptive Nano Plating I Blueprint,1304,12000,12000,12000,9000,600,300,10,1305
Expanded Cargohold I Blueprint,1317,12000,12000,12000,9000,600,300,10,1318
Reinforced Bulkheads I Blueprint,1333,12000,12000,12000,9000,600,300,10,1334
Reactor Control Unit I Blueprint,1353,12000,12000,12000,9000,600,300,10,1354
Inertia Stabilizers I Blueprint,1403,12000,12000,12000,9000,600,300,10,1404
Capacitor Power Relay I Blueprint,1445,12000,12000,12000,9000,600,300,10,1446
Power Diagnostic System I Blueprint,1539,12000,12000,12000,9000,600,300,10,1540
Small Proton Smartbomb I Blueprint,1547,12000,12000,12000,9000,600,300,10,1548
Small Graviton Smartbomb I Blueprint,1551,12000,12000,12000,9000,600,300,10,1552
Small Plasma Smartbomb I Blueprint,1557,12000,12000,12000,9000,600,300,10,1558
Small EMP Smartbomb I Blueprint,1563,12000,12000,12000,9000,600,300,10,1564
EM Ward Amplifier I Blueprint,1808,12000,12000,12000,9000,600,300,10,1809
Scourge Auto-Targeting Light Missile I Blueprint,1810,6000,6000,6000,4500,300,1500,10,1811
Nova Auto-Targeting Light Missile I Blueprint,1814,6000,6000,6000,4500,300,1500,10,1815
Inferno Auto-Targeting Light Missile I Blueprint,1816,6000,6000,6000,4500,300,1500,10,1817
Scourge Auto-Targeting Heavy Missile I Blueprint,1818,6000,6000,6000,4500,300,1500,10,1819
Mjolnir Auto-Targeting Heavy Missile I Blueprint,1820,6000,6000,6000,4500,300,1500,10,1821
Nova Auto-Targeting Heavy Missile I Blueprint,1822,6000,6000,6000,4500,300,1500,10,1823
Inferno Auto-Targeting Heavy Missile I Blueprint,1824,6000,6000,6000,4500,300,1500,10,1825
Scourge Auto-Targeting Cruise Missile I Blueprint,1826,6000,6000,6000,4500,300,1500,10,1827
Mjolnir Auto-Targeting Cruise Missile I Blueprint,1828,6000,6000,6000,4500,300,1500,10,1829
Nova Auto-Targeting Cruise Missile I Blueprint,1830,6000,6000,6000,4500,300,1500,10,1831
Inferno Auto-Targeting Cruise Missile I Blueprint,1832,6000,6000,6000,4500,300,1500,10,1833
Rapid Light Missile Launcher I Blueprint,1875,12000,12000,12000,9000,600,300,10,1876
Bestower Blueprint,1944,240000,240000,240000,180000,12000,15,10,1945
Omen Blueprint,2006,240000,240000,240000,180000,12000,15,10,2007
Medium Capacitor Battery I Blueprint,2018,12000,12000,12000,9000,600,300,10,2019
Large Capacitor Battery I Blueprint,2020,12000,12000,12000,9000,600,300,10,2021
X-Large Capacitor Battery I Blueprint,2022,12000,12000,12000,9000,600,300,10,2023
Damage Control I Blueprint,2046,12000,12000,12000,9000,600,300,10,2047
Crucifier Blueprint,2161,120000,120000,120000,90000,6000,30,10,2162
Infiltrator I Blueprint,2173,9600,9600,9600,7200,480,1500,10,2174
Sansha Wrath Cruise Missile Blueprint,2165,6000,6000,6000,4500,300,1000,10,2179
Hammerhead I Blueprint,2183,9600,9600,9600,7200,480,1500,10,2184
Praetor I Blueprint,2193,9600,9600,9600,7200,480,1500,10,2194
Acolyte I Blueprint,2203,9600,9600,9600,7200,480,1500,10,2204
Sansha Juggernaut Torpedo Blueprint,2210,6000,6000,6000,4500,300,1000,10,2211
Ghost Heavy Missile Blueprint,2212,6000,6000,6000,4500,300,1000,10,2213
Explosive Deflection Field I Blueprint,2289,12000,12000,12000,9000,600,300,10,2290
Kinetic Deflection Field I Blueprint,2291,12000,12000,12000,9000,600,300,10,2292
EM Ward Field I Blueprint,2293,12000,12000,12000,9000,600,300,10,2294
Thermic Dissipation Field I Blueprint,2295,12000,12000,12000,9000,600,300,10,2296
Shield Power Relay I Blueprint,2331,12000,12000,12000,9000,600,300,10,2332
Ogre I Blueprint,2444,9600,9600,9600,7200,480,1500,10,2445
Hobgoblin I Blueprint,2454,9600,9600,9600,7200,480,1500,10,2455
Hornet I Blueprint,2464,9600,9600,9600,7200,480,1500,10,2465
Berserker I Blueprint,2476,9600,9600,9600,7200,480,1500,10,2477
Warrior I Blueprint,2486,9600,9600,9600,7200,480,1500,10,2487
Mjolnir Torpedo Blueprint,2506,6000,6000,6000,4500,300,1500,10,2507
Nova Torpedo Blueprint,2508,6000,6000,6000,4500,300,1500,10,2509
Inferno Torpedo Blueprint,2510,6000,6000,6000,4500,300,1500,10,2511
Mjolnir Rocket Blueprint,2512,6000,6000,6000,4500,300,1500,10,2513
Inferno Rocket Blueprint,2514,6000,6000,6000,4500,300,1500,10,2515
Nova Rocket Blueprint,2516,6000,6000,6000,4500,300,1500,10,2517
Explosive Deflection Amplifier I Blueprint,2529,12000,12000,12000,9000,600,300,10,2530
Thermic Dissipation Amplifier I Blueprint,2537,12000,12000,12000,9000,600,300,10,2538
Kinetic Deflection Amplifier I Blueprint,2545,12000,12000,12000,9000,600,300,10,2546
Nanofiber Internal Structure I Blueprint,2603,12000,12000,12000,9000,600,300,10,2604
Infrastructure Hub Blueprint,32458,1728000,1728000,1728000,1728000,86400,5,10,2735
Warp Disruption Battery Blueprint,17181,162000,162000,162000,162000,8100,5,10,2736
Territorial Claim Unit Blueprint,32226,864000,864000,864000,864000,43200,5,10,2737
Sovereignty Blockade Unit Blueprint,32250,864000,864000,864000,864000,43200,5,10,2738
Nanite Repair Paste Blueprint,28668,120,120,120,120,300,5,10,2739
Warp Scrambling Battery Blueprint,17182,162000,162000,162000,162000,8100,5,10,2740
Stasis Webification Battery Blueprint,17178,162000,162000,162000,162000,8100,5,10,2741
Biochemical Silo Blueprint,25270,216000,216000,216000,216000,10800,5,10,2742
Catalyst Silo Blueprint,25271,216000,216000,216000,216000,10800,5,10,2743
Coupling Array Blueprint,17982,216000,216000,216000,216000,10800,5,10,2744
General Storage Blueprint,25821,216000,216000,216000,216000,10800,5,10,2745
Hazardous Chemical Silo Blueprint,25280,216000,216000,216000,216000,10800,5,10,2746
Hybrid Polymer Silo Blueprint,30655,216000,216000,216000,216000,10800,5,10,2747
Silo Blueprint,14343,216000,216000,216000,216000,10800,5,10,2748
Advanced Large Ship Assembly Array Blueprint,24657,432000,432000,432000,432000,21600,5,10,2749
X-Large Ship Maintenance Array Blueprint,24646,1728000,1728000,1728000,1728000,86400,5,10,2750
Advanced Medium Ship Assembly Array Blueprint,24655,345600,345600,345600,345600,17280,5,10,2751
Ship Maintenance Array Blueprint,12237,345600,345600,345600,345600,17280,5,10,2752
Advanced Small Ship Assembly Array Blueprint,24653,276480,276480,276480,276480,13824,5,10,2753
Ammunition Assembly Array Blueprint,24658,276480,276480,276480,276480,13824,5,10,2754
Ballistic Deflection Array Blueprint,17184,216000,216000,216000,216000,10800,5,10,2755
Capital Ship Assembly Array Blueprint,24575,1728000,1728000,1728000,1728000,86400,5,10,2756
Explosion Dampening Array Blueprint,17185,216000,216000,216000,216000,10800,5,10,2757
Component Assembly Array Blueprint,24660,276480,276480,276480,276480,13824,5,10,2758
Heat Dissipation Array Blueprint,17186,216000,216000,216000,216000,10800,5,10,2759
Drone Assembly Array Blueprint,24659,276480,276480,276480,276480,13824,5,10,2760
Photon Scattering Array Blueprint,17187,216000,216000,216000,216000,10800,5,10,2761
Drug Lab Blueprint,25305,345600,345600,345600,345600,17280,5,10,2762
Sensor Dampening Battery Blueprint,17180,216000,216000,216000,216000,10800,5,10,2763
Equipment Assembly Array Blueprint,13780,276480,276480,276480,276480,13824,5,10,2764
Intensive Refining Array Blueprint,19470,345600,345600,345600,345600,17280,5,10,2765
Large Ship Assembly Array Blueprint,29613,432000,432000,432000,432000,21600,5,10,2766
Medium Intensive Refining Array Blueprint,12239,216000,216000,216000,216000,10800,5,10,2767
Medium Ship Assembly Array Blueprint,24654,345600,345600,345600,345600,17280,5,10,2768
Refining Array Blueprint,12238,345600,345600,345600,345600,17280,5,10,2769
Rapid Equipment Assembly Array Blueprint,16220,276480,276480,276480,276480,13824,5,10,2770
Small Ship Assembly Array Blueprint,24574,276480,276480,276480,276480,13824,5,10,2771
Subsystem Assembly Array Blueprint,30389,276480,276480,276480,276480,13824,5,10,2772
X-Large Ship Assembly Array Blueprint,24656,1728000,1728000,1728000,1728000,86400,5,10,2773
Amarr Control Tower Blueprint,12235,1728000,1728000,1728000,1728000,86400,5,10,2774
Amarr Control Tower Medium Blueprint,20059,864000,864000,864000,864000,43200,5,10,2775
Amarr Control Tower Small Blueprint,20060,432000,432000,432000,432000,21600,5,10,2776
Caldari Control Tower Blueprint,16213,1728000,1728000,1728000,1728000,86400,5,10,2777
Caldari Control Tower Medium Blueprint,20061,864000,864000,864000,864000,43200,5,10,2778
Caldari Control Tower Small Blueprint,20062,432000,432000,432000,432000,21600,5,10,2779
Gallente Control Tower Blueprint,12236,1728000,1728000,1728000,1728000,86400,5,10,2780
Gallente Control Tower Medium Blueprint,20063,864000,864000,864000,864000,43200,5,10,2781
Gallente Control Tower Small Blueprint,20064,432000,432000,432000,432000,21600,5,10,2782
Minmatar Control Tower Blueprint,16214,1728000,1728000,1728000,1728000,86400,5,10,2783
Minmatar Control Tower Medium Blueprint,20065,864000,864000,864000,864000,43200,5,10,2784
Minmatar Control Tower Small Blueprint,20066,432000,432000,432000,432000,21600,5,10,2785
Moon Harvesting Array Blueprint,16221,345600,345600,345600,345600,17280,5,10,2786
Corporate Hangar Array Blueprint,17621,432000,432000,432000,432000,21600,5,10,2787
Cynosural Generator Array Blueprint,27673,864000,864000,864000,864000,43200,5,10,2788
Cynosural System Jammer Blueprint,27674,864000,864000,864000,864000,43200,5,10,2789
Biochemical Reactor Array Blueprint,24684,345600,345600,345600,345600,17280,5,10,2790
Complex Reactor Array Blueprint,16869,345600,345600,345600,345600,17280,5,10,2791
Ion Field Projection Battery Blueprint,17174,216000,216000,216000,216000,10800,5,10,2792
